"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SLC25A5",0.116434028483037,-0.309035162970424,0.308,0.309,1
"NDUFB10",0.123405393272996,-0.26169663290203,0.247,0.258,1
"NDUFA7",0.126629039055059,-0.257679953335207,0.247,0.255,1
"YBX1",0.129234451519524,-0.25454290012418,0.518,0.499,1
"ATP5PO",0.130574317526686,-0.306959524223272,0.263,0.265,1
"FARP1",0.132166912285425,-0.33220923537456,0.374,0.368,1
"MAL",0.13637805904631,0.361996772970485,0.52,0.5,1
"RALBP1",0.137873503441432,-0.382227386384725,0.37,0.359,1
"DDX24",0.139765403561763,-0.251940780081137,0.295,0.304,1
"PAX8",0.144415608607921,-0.262544586121126,0.389,0.392,1
"ITGAV",0.144679051206985,-0.271619665777725,0.347,0.346,1
"CAPNS1",0.145083296304136,-0.288415466172426,0.371,0.367,1
"COX5A",0.148790326052054,-0.345608125219873,0.32,0.319,1
"ENSA",0.162999090961691,-0.282869254213733,0.254,0.261,1
"JUP",0.205146781067828,-0.255239369410706,0.404,0.397,1
"NFKBIA",0.234228124873594,-0.307222415349054,0.43,0.413,1
"RER1",0.243110282022483,-0.283450010371604,0.269,0.271,1
"MRPS21",0.248199102731865,-0.281541295099161,0.306,0.304,1
"CIAO2B",0.260069263054887,-0.26916652455837,0.293,0.294,1
"KDELR1",0.291354604918118,-0.322562373819189,0.295,0.289,1
"ANAPC16",0.36824018782745,-0.250473765400956,0.337,0.327,1
"NDUFB3",0.378393165255651,-0.290286968418719,0.274,0.273,1
"H1F0",0.379755774367583,-0.303742954288582,0.318,0.312,1
"SPRR3",0.39208186869954,1.24987357698144,0.323,0.35,1
"PROM1",0.418250100194258,-0.312937695892683,0.271,0.263,1
"AKR1B1",0.453791750927257,-0.358612338239873,0.269,0.242,1
"BCL2L1",0.533685834895536,-0.288853264637364,0.296,0.285,1
"SYNE2",0.573173605215083,-0.26528140290247,0.512,0.459,1
"RND3",0.574913480657473,-0.314302741204968,0.398,0.352,1
"SET",0.588454919764742,-0.275491553595435,0.469,0.444,1
"LARGE1",0.625744614485506,-0.27732201812757,0.287,0.28,1
"LSR",0.638030853555045,-0.281456052691931,0.258,0.247,1
"NECTIN2",0.643274284075233,-0.271951017418334,0.269,0.263,1
"MRPL41",0.675479550172772,-0.282703793784952,0.33,0.312,1
"TMEM238",0.782151808891915,-0.322366716029498,0.251,0.236,1
"TIMP1",0.823105148299767,-0.428602572716505,0.32,0.304,1
"TSTD1",0.833352071510929,-0.303754547592468,0.272,0.257,1
"SEC62",0.969122853316357,-0.252766627109482,0.373,0.344,1
