"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RNF13",1.70625484828155e-13,0.280841660896738,0.291,0.175,5.76731201267645e-09
"ERBIN",1.798159653466e-13,0.259371637177791,0.458,0.317,6.07795944468044e-09
"TUBA1C",1.81743594354108e-13,0.304447264597377,0.391,0.257,6.1431152327632e-09
"LINC01578",1.82935427143725e-13,0.287153075624218,0.4,0.273,6.18340037288504e-09
"NUP98",2.02491962652951e-13,0.320034113262929,0.253,0.145,6.84443082963240e-09
"SERINC5",2.13437465593383e-13,0.279151200327425,0.28,0.164,7.21439977452192e-09
"NFKBIZ",2.15247770059463e-13,0.372829663716961,0.354,0.226,7.27558987577989e-09
"POLR2A",2.15472656482293e-13,0.302204332244848,0.297,0.18,7.28319126175798e-09
"G3BP1",2.61174132651983e-13,0.288295712243073,0.29,0.176,8.82794685776967e-09
"UGP2",2.66450805939453e-13,0.316643798939287,0.314,0.197,9.00630369155945e-09
"FBXW7",2.89282246684685e-13,0.361732913226256,0.268,0.159,9.77802922018903e-09
"DYNLL1",2.9839934273094e-13,0.338119059094275,0.559,0.423,1.00861961836485e-08
"RPL29",3.21064655838451e-13,-0.377321737942916,0.652,0.702,1.08523064319955e-08
"ACAP2",3.2579975468207e-13,0.303436787442484,0.317,0.197,1.10123575080086e-08
"LITAF",3.83828043862077e-13,0.274704568137051,0.582,0.439,1.29737717105821e-08
"ZFC3H1",4.65570424222888e-13,0.255163351341,0.259,0.149,1.57367459091579e-08
"EMP1",5.81042029569016e-13,0.500110489758754,0.365,0.248,1.96398016414623e-08
"PPP1R15A",6.70070016352402e-13,0.339781787151294,0.489,0.349,2.26490366227275e-08
"BLVRB",7.24588787372093e-13,0.262002146854019,0.368,0.244,2.44918256019641e-08
"RASAL2",7.72962709937532e-13,0.306649205239969,0.304,0.188,2.61269125585985e-08
"BZW1",8.03831988785933e-13,0.27047090116484,0.446,0.314,2.71703250529533e-08
"ATOX1",8.45833609125869e-13,0.361113125482482,0.393,0.271,2.85900218220635e-08
"KMT2E",9.01678227258985e-13,0.326049471625192,0.371,0.25,3.0477625759581e-08
"JUND",9.19949911984084e-13,0.32522181559746,0.582,0.45,3.1095226974974e-08
"NUFIP2",1.19634917726497e-12,0.25563055084051,0.318,0.203,4.04377985407332e-08
"TOP1",1.32255344848766e-12,0.273122787220323,0.429,0.301,4.47036291123312e-08
"IQGAP1",1.36449856208079e-12,0.297525433324994,0.471,0.345,4.61214158968928e-08
"KANSL1L",1.43861782216008e-12,0.328998681889201,0.304,0.191,4.86267210068328e-08
"ADAMTS9",1.72649101693286e-12,-0.545381630107523,0.385,0.465,5.83571228633477e-08
"UBL3",1.72791645682621e-12,0.260839649864954,0.28,0.17,5.84053041571828e-08
"SLC25A37",1.82374554806047e-12,0.506138140215433,0.378,0.259,6.16444232699919e-08
"RPL8",2.22486216790277e-12,-0.282580652509021,0.702,0.762,7.52025661372817e-08
"STK3",2.50928026126031e-12,0.301673544730379,0.316,0.203,8.48161821108598e-08
"MIDN",2.76410950159928e-12,0.309943348937541,0.346,0.226,9.34296652635571e-08
"TPM1",3.04918585967782e-12,-0.667182975349701,0.502,0.56,1.0306553124297e-07
"S100A9",3.33656877607071e-12,1.33430289213641,0.593,0.512,1.12779361199966e-07
"ABHD3",3.8111107003367e-12,0.312217778151657,0.287,0.178,1.28819352782081e-07
"SIPA1L1",4.02941775932452e-12,0.252096246370068,0.362,0.239,1.36198349682928e-07
"KIF1B",4.49815078834674e-12,0.337090867487966,0.296,0.19,1.52041994796908e-07
"RAB7A",5.00753764569208e-12,0.295392028302786,0.474,0.34,1.69259779962038e-07
"HERPUD1",5.07947719306703e-12,0.361818148630222,0.345,0.232,1.71691408602859e-07
"MARCH7",5.19285752342302e-12,0.254457577584454,0.273,0.167,1.75523777149222e-07
"AC019197.1",6.18050991374255e-12,-0.295266075622643,0.301,0.408,2.08907415594412e-07
"N4BP1",6.49492848057003e-12,0.397719861066244,0.25,0.15,2.19535077571748e-07
"RBM47",6.83779689244339e-12,0.2714846703968,0.579,0.438,2.31124372761479e-07
"KMT2C",7.00990077872769e-12,0.250646699874264,0.407,0.285,2.36941656221775e-07
"S100A8",8.69824003077744e-12,1.6085444661386,0.494,0.415,2.94009211280308e-07
"IFRD1",8.70439100670733e-12,0.312030555752473,0.33,0.216,2.94217120417714e-07
"TANC2",9.150793479372e-12,0.342067178122906,0.301,0.194,3.09305970396253e-07
"CD44",1.05034439878873e-11,0.352477367004588,0.46,0.329,3.55026910234578e-07
"KATNBL1",1.11832905794866e-11,0.323221945173285,0.357,0.242,3.78006404877228e-07
"PTEN",1.27600776079117e-11,0.276364566761974,0.334,0.221,4.31303383225024e-07
"TXN",1.4303817140252e-11,0.495806106285628,0.575,0.469,4.83483323157657e-07
"SF3B1",1.7302927893312e-11,0.293002672812677,0.351,0.241,5.84856265721839e-07
"WDFY3",1.85991206049978e-11,0.276615822092476,0.351,0.237,6.28668875569531e-07
"FAM172A",2.06341875928258e-11,0.272391275854179,0.28,0.175,6.97456174825103e-07
"ZMYM2",2.48335169786237e-11,0.312027764423318,0.286,0.185,8.3939770739446e-07
"KRT7",2.97799124022869e-11,-0.420763639015969,0.442,0.51,1.0065908191097e-06
"CLIC1",2.98845102913362e-11,-0.548211257473034,0.432,0.492,1.01012633235745e-06
"FOXO3",3.13729900035547e-11,0.300758183844028,0.412,0.291,1.06043843511015e-06
"S100A10",3.31423771093636e-11,-0.416108356044595,0.68,0.724,1.1202454886736e-06
"RPS4X",3.56439065697885e-11,-0.438950539317036,0.573,0.631,1.20479968596542e-06
"IL1RN",3.58524016217586e-11,0.514972232311287,0.283,0.183,1.21184702721706e-06
"SLMAP",3.70073955380603e-11,0.262660702070906,0.355,0.241,1.25088697658198e-06
"UBE2H",4.12301125882834e-11,0.264119354826145,0.578,0.439,1.39361903559657e-06
"UBE2R2",4.33851067576611e-11,0.357698299680318,0.316,0.213,1.4664599935157e-06
"ACTR2",4.34372941281038e-11,0.272724762785239,0.432,0.314,1.46822397882404e-06
"ITM2B",4.77233159056898e-11,-0.416652603478775,0.686,0.699,1.61309580092822e-06
"RPL19",5.27795815674088e-11,-0.304458146850763,0.695,0.747,1.78400263655999e-06
"ARHGAP21",6.23889811728646e-11,0.253154886531837,0.251,0.154,2.108809952624e-06
"RBPJ",6.25977931974631e-11,0.263105694471601,0.308,0.203,2.11586800786745e-06
"MT2A",6.51646797206159e-11,0.76745514052122,0.671,0.579,2.20263133923654e-06
"SGMS1",6.54251630675748e-11,0.301917188021265,0.276,0.177,2.2114359368471e-06
"RAPGEF2",6.69669887931654e-11,0.307683426386653,0.331,0.223,2.26355118819778e-06
"SLC38A2",6.75107530663697e-11,0.306672728183867,0.414,0.294,2.28193096439636e-06
"KANSL1",9.38682919089512e-11,0.256264457471458,0.426,0.303,3.17284213481446e-06
"NUMB",1.14834748777921e-10,0.280245680463886,0.37,0.257,3.88152934344252e-06
"MBOAT2",1.32122262083934e-10,0.274493060420033,0.254,0.158,4.46586458069904e-06
"WAC",1.49935638438432e-10,0.259745312412601,0.385,0.272,5.06797451485743e-06
"DUSP5",1.82623898600131e-10,0.314983873282189,0.37,0.252,6.17287039658303e-06
"KRT18",1.86334137340994e-10,-0.331218405638849,0.538,0.591,6.29828017626293e-06
"PUM2",1.92136397812205e-10,0.253192924536967,0.333,0.227,6.49440238245034e-06
"TCF12",1.95968071883761e-10,0.322338478634872,0.34,0.235,6.623916797743e-06
"PIM3",2.09692824090921e-10,0.310835500189893,0.271,0.176,7.08782714709721e-06
"FNDC3B",2.16891835122026e-10,0.330428682816502,0.629,0.503,7.33116091895959e-06
"TMTC2",2.6218504735308e-10,0.390582710157047,0.252,0.157,8.86211678558147e-06
"ZNF292",3.50217076942653e-10,0.265391232907115,0.478,0.36,1.18376874177386e-05
"SPP1",4.9003016091258e-10,-0.447204097136044,0.357,0.445,1.65635094690061e-05
"TNFRSF12A",5.89805255566855e-10,-0.569091632501477,0.292,0.358,1.99360074434153e-05
"TMPRSS2",6.63827392837167e-10,0.551665093181964,0.279,0.187,2.24380297052891e-05
"SEC61G",6.75098416645782e-10,0.309921616728488,0.452,0.355,2.28190015810441e-05
"NRDC",7.30601734834214e-10,0.263489558933912,0.272,0.176,2.46950692391313e-05
"B2M",1.21524328249682e-09,-0.324626156602823,0.888,0.888,4.10764381916751e-05
"PEBP1",1.39363242410368e-09,-0.513948460372563,0.394,0.447,4.71061695671286e-05
"ENO1",1.46826666521514e-09,-0.44956675578009,0.531,0.574,4.96288815509369e-05
"RPL6",1.75947221840224e-09,-0.342019143159255,0.634,0.678,5.9471920454214e-05
"MMP7",2.07073887256391e-09,-0.369430860315809,0.509,0.556,6.99930446315328e-05
"HSPD1",2.22582766090488e-09,0.322848775222272,0.426,0.318,7.5235200766246e-05
"SKAP2",2.46156920396788e-09,0.303700959795766,0.277,0.186,8.32035006633182e-05
"PPIB",2.83403156613295e-09,-0.51058356584426,0.364,0.427,9.57931009668597e-05
"NDUFA4",3.05655188725461e-09,-0.493291032796263,0.479,0.537,0.000103314510341093
"ATP5MC3",3.0747826861816e-09,-0.593387995904321,0.335,0.395,0.000103930729575624
"PPP1R12A",3.95832233657883e-09,0.255097214263987,0.276,0.187,0.000133795253298701
"SQSTM1",6.48249233822167e-09,0.31865208251156,0.713,0.634,0.000219114723524231
"SHOC2",8.55860861098264e-09,0.253093811778817,0.289,0.199,0.000289289529659824
"METAP2",1.12371332102304e-08,0.250675971931358,0.271,0.184,0.000379826339638996
"MUC20",1.60254985770432e-08,0.302239815775434,0.393,0.286,0.000541677877402637
"UBA52",2.25881753039561e-08,0.252717262467087,0.662,0.585,0.00076350291344902
"CYBA",2.39641127681631e-08,0.281889869029317,0.492,0.376,0.00081001097567668
"SELENOP",2.44747407092204e-08,0.499501301245785,0.286,0.202,0.000827270710712359
"EIF5A",2.74332280713098e-08,-0.524489331988379,0.387,0.435,0.000927270542038343
"PKM",3.62289427788618e-08,-0.375500175243918,0.631,0.648,0.00122457449486831
"ATP5F1B",3.98952578680374e-08,-0.530861630434999,0.356,0.406,0.00134849961119753
"GDF15",4.83386058051426e-08,0.294276407032277,0.448,0.343,0.00163389321481962
"FXYD2",4.8516872863181e-08,-0.536477523493688,0.412,0.482,0.00163991881964838
"ITGA3",5.76675526633122e-08,-0.557034172405601,0.343,0.394,0.00194922094757262
"SPINT2",7.53424056182291e-08,-0.464549661282054,0.42,0.461,0.00254664865230176
"PPIA",8.17794217238915e-08,-0.356851401492049,0.644,0.653,0.00276422623368926
"PTPRK",9.52954833845782e-08,0.283176658689908,0.444,0.345,0.00322108263388213
"SPTAN1",9.58943519305827e-08,0.250584743922568,0.389,0.297,0.00324132498960562
"SYTL2",1.22238106825792e-07,-0.523872222633734,0.322,0.376,0.0041317702488186
"MET",1.44697079066644e-07,-0.514862879304193,0.379,0.425,0.00489090596953163
"SPRR2A",1.57847351352888e-07,0.894996504466881,0.269,0.205,0.00533539832307896
"C12orf75",2.61728253083716e-07,-0.384534231435756,0.429,0.481,0.00884667668248267
"EPS8L1",3.08947491601377e-07,0.381046548165534,0.284,0.207,0.0104427341636181
"NAV2",4.32928104445045e-07,-0.574295492557339,0.223,0.277,0.014633402858347
"UBR5",4.50596809025837e-07,0.252932392202777,0.264,0.191,0.0152306227418823
"MT1E",4.54162568376426e-07,0.651692957876546,0.482,0.402,0.0153511489736916
"UQCRH",5.58218970005962e-07,-0.422416840672809,0.452,0.495,0.0188683594051715
"EPB41L1",5.85196794468793e-07,-0.424630612179915,0.203,0.259,0.0197802368498397
"LIMA1",6.24457737229121e-07,-0.529008298512618,0.318,0.365,0.0211072959760815
"CSTB",7.05554265092832e-07,0.312985887164074,0.639,0.567,0.0238484397144028
"G0S2",7.63438566396706e-07,-0.957452828261218,0.259,0.304,0.0258049869827751
"CHCHD10",7.93513370199138e-07,-0.502766295391381,0.367,0.41,0.0268215454261011
"RPS7",1.68565835260111e-06,-0.290657315834953,0.622,0.663,0.05697693797627
"NAALADL2",1.75424967469488e-06,0.307014646761844,0.321,0.246,0.0592953932543616
"CD151",2.02806383083683e-06,-0.440753622081867,0.345,0.388,0.0685505855461157
"OXR1",2.25428207728436e-06,0.299399670919883,0.308,0.232,0.0761969884942888
"MYL12B",2.37180026556918e-06,-0.300771828904639,0.586,0.622,0.0801692207765038
"SPTBN1",2.48524600769844e-06,-0.507577511610037,0.426,0.457,0.0840038003062149
"RPL3",3.10500474912833e-06,-0.257661984219234,0.699,0.721,0.104952265525287
"RPL5",3.2743473253565e-06,-0.290022298745759,0.542,0.59,0.110676213944375
"LMO7",3.39819312574839e-06,0.359040288190995,0.39,0.313,0.114862325843421
"MAL2",3.54464606536473e-06,-0.28913969188469,0.452,0.508,0.119812581655393
"CSRP1",3.87548222737742e-06,-0.500694142976347,0.224,0.274,0.130995174767584
"HMGCS1",4.17896590693048e-06,-0.615000202698579,0.261,0.308,0.141253226620157
"PLAU",4.20241683249079e-06,-0.629163021925029,0.394,0.419,0.142045891355021
"RPL14",4.57338865134473e-06,-0.253055444350174,0.638,0.667,0.154585109804103
"NDUFA1",4.8061431671595e-06,-0.361500584138004,0.444,0.49,0.162452445193158
"PRSS22",5.69921360247734e-06,0.839990561104647,0.329,0.261,0.192639118977337
"MGLL",7.48214753224192e-06,-0.535918652889304,0.273,0.319,0.252904068737309
"CYSTM1",8.97065468209135e-06,-0.307137860528524,0.498,0.532,0.30321709890937
"HSPE1",1.84056373296012e-05,0.254910949809607,0.457,0.381,0.622128947377852
"EPCAM",2.2296168769083e-05,-0.39465443220151,0.408,0.445,0.753632800563776
"PRDX5",2.80822262018325e-05,-0.346152372501438,0.444,0.48,0.949207327848139
"CD63",3.06255595875942e-05,-0.263850073193335,0.574,0.599,1
"PPFIBP1",3.51369154244009e-05,-0.432561471895951,0.348,0.385,1
"ANXA2",3.64197964996738e-05,-0.30748273775845,0.647,0.664,1
"COX6A1",4.08719286892556e-05,-0.381807034476396,0.463,0.487,1
"ATP1A1",4.21664234735138e-05,-0.555971211599389,0.468,0.471,1
"WWC1",4.32830628511341e-05,-0.439257667994153,0.307,0.351,1
"ANXA1",4.39592323335006e-05,0.644248288756023,0.401,0.342,1
"ATP5MC2",4.51762054248104e-05,-0.428774642883182,0.427,0.454,1
"RHOC",5.77198631802505e-05,-0.436527268439255,0.383,0.416,1
"COX4I1",5.84058238695123e-05,-0.295894029306697,0.527,0.553,1
"LDHB",0.000103842774991279,-0.409126911517191,0.335,0.376,1
"PSME1",0.000108906555930722,-0.447856710933224,0.347,0.374,1
"PFKP",0.000112617643862254,-0.417448287319351,0.312,0.351,1
"S100A16",0.000112870793391074,-0.452754526864501,0.325,0.361,1
"BAG1",0.000116748064191898,-0.486162508370485,0.255,0.291,1
"ITGB1",0.000144422226963955,-0.292489847976041,0.594,0.595,1
"CALR",0.000158223809949388,-0.407318545147764,0.527,0.527,1
"PPDPF",0.000214771924003002,-0.261382706855279,0.637,0.642,1
"CLDN3",0.000255718435755527,-0.343011872707419,0.247,0.287,1
"RACK1",0.000256006696560692,-0.289271955000874,0.562,0.572,1
"KRT19",0.000266250670472954,-0.295392878378326,0.613,0.622,1
"COX7C",0.000301589079038155,-0.252465093822577,0.559,0.579,1
"NDUFB9",0.000360846162440425,-0.386788411839781,0.346,0.376,1
"CLDN4",0.000372072085324332,-0.366557485258546,0.578,0.59,1
"COX7B",0.000552609216105022,-0.358937368366375,0.413,0.434,1
"CCND1",0.000605288228350761,-0.396708694638097,0.314,0.346,1
"BSG",0.000726641301395193,-0.321083506219433,0.48,0.482,1
"SHROOM3",0.000729391142261825,-0.367510638506725,0.239,0.276,1
"CDH1",0.00076108403183547,-0.344967223841044,0.366,0.397,1
"VIM",0.000904020291657037,-0.290382733217581,0.476,0.394,1
"HNRNPA1",0.00093399685610759,-0.358339847577238,0.448,0.459,1
"ATP5F1C",0.000941988572369505,-0.451334696506417,0.288,0.313,1
"SNHG29",0.00102818655184117,-0.294331842268425,0.48,0.5,1
"ATP5MC1",0.00111561278279231,-0.46620825183407,0.245,0.273,1
"SCIN",0.00129977772518369,-0.300867105046273,0.294,0.327,1
"CYTOR",0.00140518458474682,-0.391007130507142,0.37,0.389,1
"OGDH",0.00166350089252173,-0.397189275370954,0.297,0.327,1
"CD9",0.00172237610978148,-0.324939097523214,0.465,0.476,1
"ACTN4",0.00174639959738065,-0.303797583193866,0.578,0.568,1
"PLAUR",0.00183791820277376,-0.596614812223376,0.419,0.413,1
"ATP5F1A",0.0020980425554082,-0.339813829652667,0.241,0.27,1
"ATP5PF",0.0021119027716491,-0.312942675218496,0.37,0.394,1
"MALAT1",0.00257761269016507,0.385893327471653,0.951,0.928,1
"ATP5F1D",0.00273345695567864,-0.340892110446182,0.397,0.412,1
"UQCR10",0.00282954147183182,-0.323019941389497,0.442,0.451,1
"TINAGL1",0.00286381772585509,-0.47169869898626,0.237,0.265,1
"MICOS10",0.00292671136696155,-0.346520862118941,0.401,0.418,1
"UQCRC1",0.00293479450822021,-0.376488820892526,0.23,0.256,1
"ATP5MF",0.0031322171807973,-0.33458559890296,0.418,0.441,1
"GPRC5C",0.00327175845263894,-0.295387120515443,0.268,0.299,1
"CRYAB",0.00336928394049971,-0.252366571554433,0.535,0.579,1
"NDUFS8",0.00346995586470343,-0.338670952860238,0.27,0.297,1
"ATP5MG",0.00394257829695839,-0.297966455628084,0.519,0.522,1
"ST14",0.00529352716198588,-0.351719779314374,0.307,0.325,1
"MRPL33",0.00550490259408896,-0.325794324563878,0.478,0.496,1
"ATP5PD",0.00588347108018445,-0.387031880024782,0.321,0.336,1
"DST",0.00667845112508986,-0.372018394110412,0.357,0.377,1
"DMKN",0.00753663112500583,-0.317374785468243,0.24,0.268,1
"CTSH",0.00879731789639988,-0.351500540136102,0.268,0.289,1
"COX6C",0.0089132196925563,-0.357075036049988,0.47,0.469,1
"NDUFA6",0.00927387446846259,-0.361123135162959,0.271,0.288,1
"MYL12A",0.0100892377567161,-0.312540297067636,0.582,0.558,1
"TRIM8",0.010274821413832,-0.278955659099157,0.246,0.271,1
"NDUFA3",0.0131074499105354,-0.334573021252437,0.364,0.376,1
"FLNB",0.0137120274338042,-0.3671318797385,0.301,0.32,1
"MYOF",0.0144300427090304,-0.354603135450661,0.348,0.363,1
"ATP5ME",0.0165185475571569,-0.315507558800904,0.513,0.505,1
"CST3",0.0166456992654061,-0.308224001796926,0.469,0.469,1
"RAB11FIP1",0.0198400219345974,-0.297586256726496,0.449,0.46,1
"HINT1",0.0221239485293245,-0.27620425684794,0.483,0.485,1
"AHNAK",0.0226052961049465,-0.381582834044208,0.385,0.385,1
"MECOM",0.0229321740359533,0.484094044403637,0.421,0.394,1
"COX5B",0.0245218302316036,-0.318260103284795,0.482,0.472,1
"SREBF2",0.0256467170893576,-0.338650082589596,0.232,0.253,1
"PRDX2",0.0260365949702534,-0.383105370316188,0.295,0.311,1
"NUPR1",0.0289753322946393,-0.382303788930959,0.237,0.252,1
"NDUFS5",0.0313946360486899,-0.259499190933718,0.454,0.454,1
"AIF1L",0.0340382894403926,-0.320835069377786,0.297,0.312,1
"NDUFC1",0.0361564867144488,-0.291122020971187,0.356,0.363,1
"AGAP1",0.0376925065027902,-0.370109642708672,0.274,0.286,1
"LMAN1",0.039056842214482,-0.278116687380534,0.241,0.256,1
"SSR2",0.0405399522750524,-0.346996646150506,0.262,0.275,1
"VCL",0.042238707213452,-0.325981455676617,0.36,0.37,1
"HIGD2A",0.0428373070613403,-0.320673778881163,0.259,0.271,1
"SLIRP",0.0492889616932654,-0.264870419610943,0.293,0.306,1
"MYH9",0.0571847299144485,-0.289290469639905,0.443,0.436,1
"MYO1E",0.0576877245936074,-0.318174205918462,0.459,0.441,1
"ITGA2",0.057773485515201,-0.457816759698013,0.432,0.424,1
"KRT13",0.059978978192581,0.459448182608752,0.261,0.251,1
"ISCU",0.063140495669334,-0.279123747470095,0.261,0.275,1
"TJP2",0.068768331424064,-0.2787535725615,0.322,0.328,1
"UQCRQ",0.0731896325856056,-0.30067335182117,0.429,0.433,1
"NDUFB2",0.0814146189725523,-0.271653926352542,0.424,0.426,1
"PDE4D",0.0869835629449212,0.275167984143865,0.413,0.376,1
"TLE5",0.102159508069514,-0.280223355732959,0.431,0.416,1
"MRPS6",0.104424574505899,-0.399439753358434,0.318,0.271,1
"ASAP2",0.114613043636662,-0.271802677820846,0.285,0.292,1
